Шарик;Овчарка;1
Тузик;Дворняжка;0
Чарльз;Такса;1
Бобик;Лабрадор;0
Джесси;Хаски;1
Лорд;Немецкая овчарка;1
Мухтар;Лобредор;0
Белла;Золотистый ретривер;1
Тупак;Овчарка;0
Рокси;Питбуль;1
Джек;Такса;0
Люси;Колли;1
Макс;Ротвейлер;1
Барсик;Дворняжка;0
Зевс;Алабай;1
Лайка;Хаски;1
Рекс;Овчарка;0
Дейзи;Спаниель;1
Барон;Дог;1
Молли;Корги;0
Ричи;Пудель;1
Спарки;Дворняжка;0
Герда;Самоед;1
Оскар;Такса;0
Хлоя;Мопс;1
Тедди;Золотистый ретривер;1
Гром;Алабай;0
Стелла;Лабрадор;1
Арчи;Бигль;1
Ника;Дворняжка;0
Купер;Хаски;1
Винстон;Бульдог;0
Пеппер;Шпиц;1
Сэм;Ротвейлер;1
Зоя;Колли;0
Бруно;Овчарка;1
Мила;Такса;1
Граф;Дог;0
Элла;Спаниель;1
Рокки;Питбуль;1
Ирис;Дворняжка;0
Феня;Хаски;1
Цезарь;Немецкая овчарка;0
Луна;Лабрадор;1
Бакс;Ротвейлер;1
Дора;Корги;0
Скай;Самоед;1
Бенджи;Такса;0
Грейс;Золотистый ретривер;1
Оливер;Бигль;1
Жучка;Дворняжка;0
Симба;Хаски;1
Марс;Алабай;0
Астра;Колли;1
Пират;Овчарка;1
Клео;Мопс;0
Санни;Ретривер;1
Блэки;Ротвейлер;1
Лили;Дворняжка;0
Айк;Хаски;1
Нора;Такса;0
Гизмо;Шпиц;1
Руби;Лабрадор;1
Фил;Дог;0
Эльза;Самоед;1
Бадди;Бигль;1
Майло;Дворняжка;0
Хантер;Овчарка;1
Пикси;Корги;0
Зара;Хаски;1
Коди;Ротвейлер;1
Марта;Дворняжка;0
Сэди;Золотистый ретривер;1
Локи;Алабай;0
Меджик;Колли;1
Риley;Такса;1
Скаут;Дворняжка;0
Харли;Питбуль;1
Герцог;Дог;1
Несси;Лабрадор;0
Зеня;Хаски;1
Бонни;Спаниель;1
Клайд;Дворняжка;0
Смоки;Овчарка;1
Венди;Мопс;0
Самсон;Ротвейлер;1
Пэтти;Такса;1
Рэнди;Дворняжка;0
Кэсси;Хаски;1
Джаспер;Бигль;1
Мира;Колли;0
Блейз;Алабай;1
Фифи;Шпиц;1
Гуфи;Дворняжка;0
Эйс;Овчарка;1
Рози;Лабрадор;1
Спайк;Питбуль;0
Марли;Золотистый ретривер;1
Билли;Такса;1
Гермиона;Дворняжка;0
Тор;Хаски;1
Пэрис;Ротвейлер;1
Джинджер;Корги;0